Instance ID,Report,Rule ID,Severity,Identifiers and References,Description,Rationale,Pass,Report Time
12,Landscape_security_profile_client_report_ID12-20250626162800.xml,xccdf_org.ssgproject.content_rule_file_groupowner_etc_issue,medium,xccdf_org.ssgproject.content_rule_file_groupowner_etc_issue,"To properly set the group owner of /etc/issue , run the command: $ sudo chgrp root /etc/issue","Display of a standardized and approved use notification before granting access to the operating system ensures privacy and security notification verbiage used is consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance.",pass,2025-06-26T16:28:53
12,Landscape_security_profile_client_report_ID12-20250626162800.xml,xccdf_org.ssgproject.content_rule_file_groupowner_etc_issue_net,medium,xccdf_org.ssgproject.content_rule_file_groupowner_etc_issue_net,"To properly set the group owner of /etc/issue.net , run the command: $ sudo chgrp root /etc/issue.net","Display of a standardized and approved use notification before granting access to the operating system ensures privacy and security notification verbiage used is consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance.",pass,2025-06-26T16:28:53
12,Landscape_security_profile_client_report_ID12-20250626162800.xml,xccdf_org.ssgproject.content_rule_file_groupowner_etc_motd,medium,xccdf_org.ssgproject.content_rule_file_groupowner_etc_motd,"To properly set the group owner of /etc/motd , run the command: $ sudo chgrp root /etc/motd","Display of a standardized and approved use notification before granting access to the operating system ensures privacy and security notification verbiage used is consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance.",pass,2025-06-26T16:28:53
12,Landscape_security_profile_client_report_ID12-20250626162800.xml,xccdf_org.ssgproject.content_rule_file_owner_etc_issue,medium,xccdf_org.ssgproject.content_rule_file_owner_etc_issue,"To properly set the owner of /etc/issue , run the command: $ sudo chown root /etc/issue","Display of a standardized and approved use notification before granting access to the operating system ensures privacy and security notification verbiage used is consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance.",pass,2025-06-26T16:28:53
12,Landscape_security_profile_client_report_ID12-20250626162800.xml,xccdf_org.ssgproject.content_rule_file_owner_etc_issue_net,medium,xccdf_org.ssgproject.content_rule_file_owner_etc_issue_net,"To properly set the owner of /etc/issue.net , run the command: $ sudo chown root /etc/issue.net","Display of a standardized and approved use notification before granting access to the operating system ensures privacy and security notification verbiage used is consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance.",pass,2025-06-26T16:28:53
12,Landscape_security_profile_client_report_ID12-20250626162800.xml,xccdf_org.ssgproject.content_rule_file_owner_etc_motd,medium,xccdf_org.ssgproject.content_rule_file_owner_etc_motd,"To properly set the owner of /etc/motd , run the command: $ sudo chown root /etc/motd","Display of a standardized and approved use notification before granting access to the operating system ensures privacy and security notification verbiage used is consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance.",pass,2025-06-26T16:28:53
12,Landscape_security_profile_client_report_ID12-20250626162800.xml,xccdf_org.ssgproject.content_rule_file_permissions_etc_issue,medium,xccdf_org.ssgproject.content_rule_file_permissions_etc_issue,"To properly set the permissions of /etc/issue , run the command: $ sudo chmod 0644 /etc/issue","Display of a standardized and approved use notification before granting access to the operating system ensures privacy and security notification verbiage used is consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance.",pass,2025-06-26T16:28:53
12,Landscape_security_profile_client_report_ID12-20250626162800.xml,xccdf_org.ssgproject.content_rule_file_permissions_etc_issue_net,medium,xccdf_org.ssgproject.content_rule_file_permissions_etc_issue_net,"To properly set the permissions of /etc/issue.net , run the command: $ sudo chmod 0644 /etc/issue.net","Display of a standardized and approved use notification before granting access to the operating system ensures privacy and security notification verbiage used is consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance.",pass,2025-06-26T16:28:53
12,Landscape_security_profile_client_report_ID12-20250626162800.xml,xccdf_org.ssgproject.content_rule_file_permissions_etc_motd,medium,xccdf_org.ssgproject.content_rule_file_permissions_etc_motd,"To properly set the permissions of /etc/motd , run the command: $ sudo chmod 0644 /etc/motd","Display of a standardized and approved use notification before granting access to the operating system ensures privacy and security notification verbiage used is consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance.",pass,2025-06-26T16:28:53
12,Landscape_security_profile_client_report_ID12-20250626162800.xml,xccdf_org.ssgproject.content_rule_package_pam_pwquality_installed,medium,xccdf_org.ssgproject.content_rule_package_pam_pwquality_installed,The libpam-pwquality package can be installed with the following command: $ apt-get install libpam-pwquality,"Use of a complex password helps to increase the time and resources required to compromise the password. Password complexity, or strength, is a measure of the effectiveness of a password in resisting attempts at guessing and brute-force attacks. ""pwquality"" enforces complex password construction configuration and has the ability to limit brute-force attacks on the system.",fail,2025-06-26T16:28:53
12,Landscape_security_profile_client_report_ID12-20250626162800.xml,xccdf_org.ssgproject.content_rule_accounts_password_pam_unix_remember,medium,xccdf_org.ssgproject.content_rule_accounts_password_pam_unix_remember,Do not allow users to reuse recent passwords. This can be accomplished by using the remember option for the pam_unix or pam_pwhistory PAM modules.,Preventing re-use of previous passwords helps ensure that a compromised password is not re-used by a user.,fail,2025-06-26T16:28:53
12,Landscape_security_profile_client_report_ID12-20250626162800.xml,xccdf_org.ssgproject.content_rule_accounts_passwords_pam_faillock_deny,medium,xccdf_org.ssgproject.content_rule_accounts_passwords_pam_faillock_deny,"This rule configures the system to lock out accounts after a number of incorrect login attempts
using pam_faillock.so .

pam_faillock.so module requires multiple entries in pam files. These entries must be carefully
defined to work as expected.","By limiting the number of failed logon attempts, the risk of unauthorized system access via user password guessing, also known as brute-forcing, is reduced. Limits are imposed by locking the account.",fail,2025-06-26T16:28:53
12,Landscape_security_profile_client_report_ID12-20250626162800.xml,xccdf_org.ssgproject.content_rule_accounts_passwords_pam_faillock_interval,medium,xccdf_org.ssgproject.content_rule_accounts_passwords_pam_faillock_interval,"Utilizing pam_faillock.so , the fail_interval directive configures the system
to lock out an account after a number of incorrect login attempts within a specified time
period.","By limiting the number of failed logon attempts the risk of unauthorized system access via user password guessing, otherwise known as brute-forcing, is reduced. Limits are imposed by locking the account.",fail,2025-06-26T16:28:53
12,Landscape_security_profile_client_report_ID12-20250626162800.xml,xccdf_org.ssgproject.content_rule_accounts_passwords_pam_faillock_unlock_time,medium,xccdf_org.ssgproject.content_rule_accounts_passwords_pam_faillock_unlock_time,"This rule configures the system to lock out accounts during a specified time period after a
number of incorrect login attempts using pam_faillock.so .

pam_faillock.so module requires multiple entries in pam files. These entries must be carefully
defined to work as expected. In order to avoid any errors when manually editing these files,
it is recommended to use the appropriate tools, such as authselect or authconfig ,
depending on the OS version.

If unlock_time is set to 0 , manual intervention by an administrator is required
to unlock a user. This should be done using the faillock tool.","By limiting the number of failed logon attempts the risk of unauthorized system access via user password guessing, otherwise known as brute-forcing, is reduced. Limits are imposed by locking the account.",fail,2025-06-26T16:28:53
12,Landscape_security_profile_client_report_ID12-20250626162800.xml,xccdf_org.ssgproject.content_rule_accounts_password_pam_dcredit,medium,xccdf_org.ssgproject.content_rule_accounts_password_pam_dcredit,"The pam_pwquality module's dcredit parameter controls requirements for
usage of digits in a password. When set to a negative number, any password will be required to
contain that many digits. When set to a positive number, pam_pwquality will grant +1 additional
length credit for each digit. Modify the dcredit setting in /etc/security/pwquality.conf to require the use of a digit in passwords.","Use of a complex password helps to increase the time and resources required to compromise the password. Password complexity, or strength, is a measure of the effectiveness of a password in resisting attempts at guessing and brute-force attacks. ",fail,2025-06-26T16:28:53
12,Landscape_security_profile_client_report_ID12-20250626162800.xml,xccdf_org.ssgproject.content_rule_accounts_password_pam_lcredit,medium,xccdf_org.ssgproject.content_rule_accounts_password_pam_lcredit,"The pam_pwquality module's lcredit parameter controls requirements for
usage of lowercase letters in a password. When set to a negative number, any password will be required to
contain that many lowercase characters. When set to a positive number, pam_pwquality will grant +1 additional
length credit for each lowercase character. Modify the lcredit setting in /etc/security/pwquality.conf to require the use of a lowercase character in passwords.","Use of a complex password helps to increase the time and resources required to compromise the password. Password complexity, or strength, is a measure of the effectiveness of a password in resisting attempts at guessing and brute-force attacks. ",fail,2025-06-26T16:28:53
12,Landscape_security_profile_client_report_ID12-20250626162800.xml,xccdf_org.ssgproject.content_rule_accounts_password_pam_minclass,medium,xccdf_org.ssgproject.content_rule_accounts_password_pam_minclass,"The pam_pwquality module's minclass parameter controls
requirements for usage of different character classes, or types, of character
that must exist in a password before it is considered valid. For example,
setting this value to three (3) requires that any password must have characters
from at least three different categories in order to be approved. The default
value is zero (0), meaning there are no required classes. There are four
categories available: * Upper-case characters
* Lower-case characters
* Digits
* Special characters (for example, punctuation) Modify the minclass setting in /etc/security/pwquality.conf entry
to require differing categories of characters when changing passwords.","Use of a complex password helps to increase the time and resources required to compromise the password. Password complexity, or strength, is a measure of the effectiveness of a password in resisting attempts at guessing and brute-force attacks. ",fail,2025-06-26T16:28:53
12,Landscape_security_profile_client_report_ID12-20250626162800.xml,xccdf_org.ssgproject.content_rule_accounts_password_pam_minlen,medium,xccdf_org.ssgproject.content_rule_accounts_password_pam_minlen,"The pam_pwquality module's minlen parameter controls requirements for
minimum characters required in a password. Add minlen= after pam_pwquality to set minimum password length requirements.","The shorter the password, the lower the number of possible combinations that need to be tested before the password is compromised. ",fail,2025-06-26T16:28:53
12,Landscape_security_profile_client_report_ID12-20250626162800.xml,xccdf_org.ssgproject.content_rule_accounts_password_pam_ocredit,medium,xccdf_org.ssgproject.content_rule_accounts_password_pam_ocredit,"The pam_pwquality module's ocredit= parameter controls requirements for
usage of special (or ""other"") characters in a password. When set to a negative number,
any password will be required to contain that many special characters.
When set to a positive number, pam_pwquality will grant +1
additional length credit for each special character. Modify the ocredit setting
in /etc/security/pwquality.conf to equal to require use of a special character in passwords.","Use of a complex password helps to increase the time and resources required to compromise the password. Password complexity, or strength, is a measure of the effectiveness of a password in resisting attempts at guessing and brute-force attacks. ",fail,2025-06-26T16:28:53
12,Landscape_security_profile_client_report_ID12-20250626162800.xml,xccdf_org.ssgproject.content_rule_accounts_password_pam_retry,medium,xccdf_org.ssgproject.content_rule_accounts_password_pam_retry,"To configure the number of retry prompts that are permitted per-session:

Edit the pam_pwquality.so statement in /etc/pam.d/common-password to show retry= , or a lower value if site
policy is more restrictive. The DoD requirement is a maximum of 3 prompts
per session.","Setting the password retry prompts that are permitted on a per-session basis to a low value requires some software, such as SSH, to re-connect. This can slow down and draw additional attention to some types of password-guessing attacks. Note that this is different from account lockout, which is provided by the pam_faillock module.",fail,2025-06-26T16:28:53
12,Landscape_security_profile_client_report_ID12-20250626162800.xml,xccdf_org.ssgproject.content_rule_accounts_password_pam_ucredit,medium,xccdf_org.ssgproject.content_rule_accounts_password_pam_ucredit,"The pam_pwquality module's ucredit= parameter controls requirements for
usage of uppercase letters in a password. When set to a negative number, any password will be required to
contain that many uppercase characters. When set to a positive number, pam_pwquality will grant +1 additional
length credit for each uppercase character. Modify the ucredit setting in /etc/security/pwquality.conf to require the use of an uppercase character in passwords.","Use of a complex password helps to increase the time and resources required to compromise the password. Password complexity, or strength, is a measure of the effectiveness of a password in resisting attempts at guessing and brute-force attacks. ",fail,2025-06-26T16:28:53
12,Landscape_security_profile_client_report_ID12-20250626162800.xml,xccdf_org.ssgproject.content_rule_set_password_hashing_algorithm_logindefs,medium,xccdf_org.ssgproject.content_rule_set_password_hashing_algorithm_logindefs,"In /etc/login.defs , add or correct the following line to ensure
the system will use as the hashing algorithm: ENCRYPT_METHOD","Passwords need to be protected at all times, and encryption is the standard method for protecting passwords. If passwords are not encrypted, they can be plainly read (i.e., clear text) and easily compromised. Passwords that are encrypted with a weak algorithm are no more protected than if they are kept in plain text. ",fail,2025-06-26T16:28:53
12,Landscape_security_profile_client_report_ID12-20250626162800.xml,xccdf_org.ssgproject.content_rule_account_unique_id,medium,xccdf_org.ssgproject.content_rule_account_unique_id,"Change user IDs (UIDs), or delete accounts, so each has a unique name.","To assure accountability and prevent unauthenticated access, interactive users must be identified and authenticated to prevent potential misuse and compromise of the system.",pass,2025-06-26T16:28:53
12,Landscape_security_profile_client_report_ID12-20250626162800.xml,xccdf_org.ssgproject.content_rule_group_unique_id,medium,xccdf_org.ssgproject.content_rule_group_unique_id,"Change the group name or delete groups, so each has a unique id.","To assure accountability and prevent unauthenticated access, groups must be identified uniquely to prevent potential misuse and compromise of the system.",pass,2025-06-26T16:28:53
12,Landscape_security_profile_client_report_ID12-20250626162800.xml,xccdf_org.ssgproject.content_rule_group_unique_name,medium,xccdf_org.ssgproject.content_rule_group_unique_name,"Change the group name or delete groups, so each has a unique name.","To assure accountability and prevent unauthenticated access, groups must be identified uniquely to prevent potential misuse and compromise of the system.",pass,2025-06-26T16:28:53
12,Landscape_security_profile_client_report_ID12-20250626162800.xml,xccdf_org.ssgproject.content_rule_account_disable_post_pw_expiration,medium,xccdf_org.ssgproject.content_rule_account_disable_post_pw_expiration,"To specify the number of days after a password expires (which
signifies inactivity) until an account is permanently disabled, add or correct
the following line in /etc/default/useradd : INACTIVE= If a password is currently on the verge of expiration, then day(s) remain(s) until the account is automatically
disabled. However, if the password will not expire for another 60 days, then 60
days plus day(s) could
elapse until the account would be automatically disabled. See the useradd man page for more information.",Inactive identifiers pose a risk to systems and applications because attackers may exploit an inactive identifier and potentially obtain undetected access to the system. Disabling inactive accounts ensures that accounts which may not have been responsibly removed are not available to attackers who may have compromised their credentials. Owners of inactive accounts will not notice if unauthorized access to their user account has been obtained.,fail,2025-06-26T16:28:53
12,Landscape_security_profile_client_report_ID12-20250626162800.xml,xccdf_org.ssgproject.content_rule_account_unique_name,medium,xccdf_org.ssgproject.content_rule_account_unique_name,"Ensure accounts on the system have unique names.

To ensure all accounts have unique names, run the following command: $ sudo getent passwd | awk -F: '{ print $1}' | uniq -d If a username is returned, change or delete the username.",Unique usernames allow for accountability on the system.,pass,2025-06-26T16:28:53
12,Landscape_security_profile_client_report_ID12-20250626162800.xml,xccdf_org.ssgproject.content_rule_ensure_shadow_group_empty,medium,xccdf_org.ssgproject.content_rule_ensure_shadow_group_empty,"The shadow group allows system programs which require access the ability
to read the /etc/shadow file. No users should be assigned to the shadow group.","Any users assigned to the shadow group would be granted read access to the /etc/shadow file. If attackers can gain read access to the /etc/shadow file, they can easily run a password cracking program against the hashed passwords to break them. Other security information that is stored in the /etc/shadow file (such as expiration) could also be useful to subvert additional user accounts.",pass,2025-06-26T16:28:53
12,Landscape_security_profile_client_report_ID12-20250626162800.xml,xccdf_org.ssgproject.content_rule_accounts_maximum_age_login_defs,medium,xccdf_org.ssgproject.content_rule_accounts_maximum_age_login_defs,"To specify password maximum age for new accounts,
edit the file /etc/login.defs and add or correct the following line: PASS_MAX_DAYS A value of 180 days is sufficient for many environments.
The DoD requirement is 60.
The profile requirement is .","Any password, no matter how complex, can eventually be cracked. Therefore, passwords need to be changed periodically. If the operating system does not limit the lifetime of passwords and force users to change their passwords, there is the risk that the operating system passwords could be compromised. ",fail,2025-06-26T16:28:53
12,Landscape_security_profile_client_report_ID12-20250626162800.xml,xccdf_org.ssgproject.content_rule_accounts_minimum_age_login_defs,medium,xccdf_org.ssgproject.content_rule_accounts_minimum_age_login_defs,"To specify password minimum age for new accounts,
edit the file /etc/login.defs and add or correct the following line: PASS_MIN_DAYS A value of 1 day is considered sufficient for many
environments. The DoD requirement is 1.
The profile requirement is .","Enforcing a minimum password lifetime helps to prevent repeated password changes to defeat the password reuse or history enforcement requirement. If users are allowed to immediately and continually change their password, then the password could be repeatedly changed in a short period of time to defeat the organization's policy regarding password reuse. ",fail,2025-06-26T16:28:53
12,Landscape_security_profile_client_report_ID12-20250626162800.xml,xccdf_org.ssgproject.content_rule_accounts_password_set_max_life_existing,medium,xccdf_org.ssgproject.content_rule_accounts_password_set_max_life_existing,"Configure non-compliant accounts to enforce a -day maximum password lifetime
restriction by running the following command: $ sudo chage -M  USER","Any password, no matter how complex, can eventually be cracked. Therefore, passwords need to be changed periodically. If the operating system does not limit the lifetime of passwords and force users to change their passwords, there is the risk that the operating system passwords could be compromised.",pass,2025-06-26T16:28:53
12,Landscape_security_profile_client_report_ID12-20250626162800.xml,xccdf_org.ssgproject.content_rule_accounts_password_set_min_life_existing,medium,xccdf_org.ssgproject.content_rule_accounts_password_set_min_life_existing,"Configure non-compliant accounts to enforce a 24 hours/1 day minimum password
lifetime by running the following command: $ sudo chage -m 1 USER","Enforcing a minimum password lifetime helps to prevent repeated password changes to defeat the password reuse or history enforcement requirement. If users are allowed to immediately and continually change their password, the password could be repeatedly changed in a short period of time to defeat the organization's policy regarding password reuse.",pass,2025-06-26T16:28:53
12,Landscape_security_profile_client_report_ID12-20250626162800.xml,xccdf_org.ssgproject.content_rule_accounts_password_warn_age_login_defs,medium,xccdf_org.ssgproject.content_rule_accounts_password_warn_age_login_defs,"To specify how many days prior to password
expiration that a warning will be issued to users,
edit the file /etc/login.defs and add or correct
 the following line: PASS_WARN_AGE The DoD requirement is 7.
The profile requirement is .",Setting the password warning age enables users to make the change at a practical time.,pass,2025-06-26T16:28:53
12,Landscape_security_profile_client_report_ID12-20250626162800.xml,xccdf_org.ssgproject.content_rule_accounts_password_all_shadowed,medium,xccdf_org.ssgproject.content_rule_accounts_password_all_shadowed,"If any password hashes are stored in /etc/passwd (in the second field,
instead of an x or * ), the cause of this misconfiguration should be
investigated. The account should have its password reset and the hash should be
properly stored, or the account should be deleted entirely.",The hashes for all user account passwords should be stored in the file ,pass,2025-06-26T16:28:53
12,Landscape_security_profile_client_report_ID12-20250626162800.xml,xccdf_org.ssgproject.content_rule_accounts_password_last_change_is_in_past,medium,xccdf_org.ssgproject.content_rule_accounts_password_last_change_is_in_past,All users should have a password change date in the past.,If a user recorded password change date is in the future then they could bypass any set password expiration.,pass,2025-06-26T16:28:53
12,Landscape_security_profile_client_report_ID12-20250626162800.xml,xccdf_org.ssgproject.content_rule_gid_passwd_group_same,low,xccdf_org.ssgproject.content_rule_gid_passwd_group_same,Add a group to the system for each GID referenced without a corresponding group.,"If a user is assigned the Group Identifier (GID) of a group not existing on the system, and a group with the Group Identifier (GID) is subsequently created, the user may have unintended rights to any files associated with the group.",pass,2025-06-26T16:28:53
12,Landscape_security_profile_client_report_ID12-20250626162800.xml,xccdf_org.ssgproject.content_rule_no_empty_passwords_etc_shadow,high,xccdf_org.ssgproject.content_rule_no_empty_passwords_etc_shadow,"Check the ""/etc/shadow"" file for blank passwords with the
following command: $ sudo awk -F: '!$2 {print $1}' /etc/shadow If the command returns any results, this is a finding.
Configure all accounts on the system to have a password or lock
the account with the following commands:
Perform a password reset: $ sudo passwd [username] Lock an account: $ sudo passwd -l [username]","If an account has an empty password, anyone could log in and run commands with the privileges of that account. Accounts with empty passwords should never be used in operational environments.",pass,2025-06-26T16:28:53
12,Landscape_security_profile_client_report_ID12-20250626162800.xml,xccdf_org.ssgproject.content_rule_no_forward_files,medium,xccdf_org.ssgproject.content_rule_no_forward_files,The .forward file specifies an email address to forward the user's mail to.,Use of the ,pass,2025-06-26T16:28:53
12,Landscape_security_profile_client_report_ID12-20250626162800.xml,xccdf_org.ssgproject.content_rule_no_netrc_files,medium,xccdf_org.ssgproject.content_rule_no_netrc_files,"The .netrc files contain login information
used to auto-login into FTP servers and reside in the user's home
directory. These files may contain unencrypted passwords to
remote FTP servers making them susceptible to access by unauthorized
users and should not be used.  Any .netrc files should be removed.",Unencrypted passwords for remote FTP servers may be stored in ,pass,2025-06-26T16:28:53
12,Landscape_security_profile_client_report_ID12-20250626162800.xml,xccdf_org.ssgproject.content_rule_accounts_no_uid_except_zero,high,xccdf_org.ssgproject.content_rule_accounts_no_uid_except_zero,"If any account other than root has a UID of 0, this misconfiguration should
be investigated and the accounts other than root should be removed or have
their UID changed. If the account is associated with system commands or applications the UID
should be changed to one greater than ""0"" but less than ""1000.""
Otherwise assign a UID greater than ""1000"" that has not already been
assigned.",An account has root authority if it has a UID of 0. Multiple accounts with a UID of 0 afford more opportunity for potential intruders to guess a password for a privileged account. Proper configuration of sudo is recommended to afford multiple system administrators access to root privileges in an accountable manner.,pass,2025-06-26T16:28:53
12,Landscape_security_profile_client_report_ID12-20250626162800.xml,xccdf_org.ssgproject.content_rule_accounts_root_gid_zero,high,xccdf_org.ssgproject.content_rule_accounts_root_gid_zero,The root user should have a primary group of 0.,To help ensure that root-owned files are not inadvertently exposed to other users.,pass,2025-06-26T16:28:53
